Family,Subfamily,Tribe,Genus,Specific Epithet,Subgenus,Infraspecific Epithet,Scientific Name Authorship,Identification References,Sociality,Sociality Type,Sociality Multiple Types,Sociality Data Accuracy,Sociality References,Cleptoparasites Hosts,Cleptoparasites Hosts References,Buzzing Capacity,Buzzing Capacity Data Accuracy,Buzzing Capacity References,Nesting Position,Nesting Remarks,Nesting Method,Nesting Substrate,Nesting Agreggation,Nesting Data Accuracy,Nesting Artificial,Nesting Population Range,Nesting Population Average,Nesting Brood Cell Types,Nesting References,Intertegular Distance Average,Intertegular Distance Classes,Intertegular Distance Subclasses,Intertegular Distance Females,Intertegular Distance Males,Intertegular Distance Workers,Intertegular Distance References,Uses human made structures
Apidae,Apinae,Meliponini,Melipona,quadrifasciata,Melipona,quadrifasciata,"Lepeletier, 1836","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,yes,species,"Harter, Birgit, Carla Leistikow, Wolfgang Wilms, Betânia Truylio, and Wolf Engels. 2002. “Bees Collecting Pollen from Flowers with Poricidal Anthers in a South Brazilian Araucaria Forest: A Community Study.” Journal of Apicultural Research 41 (1–2): 9–16. https://doi.org/10.1080/00218839.2002.11101063. | Pereira, Adriana Couto, Juliana Bertolino Da Silva, Renato Goldenberg, Gabriel A.R. Melo, and Isabela Galarda Varassin. 2011. “Flower Color Change Accelerated by Bee Pollination in Tibouchina (Melastomataceae)”. Flora - Morphology, Distribution, Functional Ecology of Plants 206 (5): 491–97. https://doi.org/10.1016/j.flora.2011.01.004.",above ground,hollow trees,pre-existing cavities,wood,no,species,hive,300-1500,900,combs,"Menezes, C., Alves, D. A., Lucena, D. A. A., & Almeida, E. A. B. (2023). Abelhas sem ferrão relevantes para a meliponicultura no Brasil. São Paulo: A.B.E.L.H.A. | Wille A, Michener CD (1973) The nest architecture of the stingless bees with species reference to those of Costa Rica. Revista de Biologia Tropical 21, 1-278. | Cortopassi-Laurino, Marilda. 2009. “Árvores neotropicais, recursos importantes para a nidificação de abelhas sem ferrão (Apidae, Meliponini).” Mensagem Doce, 2009. | Ramalho, M., V. L. Imperatriz-Fonseca, and T. C. Giannini. 1998. “Within-Colony Size Variation of Foragers and Pollen Load Capacity in the Stingless Bee Melipona quadrifasciata Anthidioides Lepeletier (Apidae, Hymenoptera)”. Apidologie 29 (3): 221–28. https://doi.org/10.1051/apido:19980302. | Michener, Charles Duncan. 1974. The social behavior of the bees. Cambridge: Harvard University Press. | Tóth, E., D. C. Queller, A. Dollin, and J. E. Strassmann. 2004. “Conflict over Male Parentage in Stingless Bees.” Insectes Sociaux 51 (1): 1–11. https://doi.org/10.1007/s00040-003-0707-z. | Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",2.91,medium (2.2-3.8),2.6-3.0,no information,no information,2.91,"Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3. | Jaffé, Rodolfo, Nathaniel Pope, André L. Acosta, Denise A. Alves, Maria C. Arias, Pilar De La Rúa, Flávio O. Francisco, et al. 2016. “Beekeeping Practices and Geographic Distance, Not Land Use, Drive Gene Flow across Tropical Bees”. Molecular Ecology 25 (21): 5345–58. https://doi.org/10.1111/mec.13852. | González-Chaves, Adrian, Rodolfo Jaffé, Jean Paul Metzger, and Astrid De M. P. Kleinert. 2020. “Forest Proximity Rather than Local Forest Cover Affects Bee Diversity and Coffee Pollination Services”. Landscape Ecology 35 (8): 1841–55. https://doi.org/10.1007/s10980-020-01061-1.",no
Halictidae,Halictinae,Augochlorini,Megommation,insigne,,,"(Smith, 1853)","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,semisocial,,species,"Michener, Charles D., and Rudolf B. Lange. 1958. “Observations on the Behavior of Brazilian Halictid Bees (Hymenoptera, Apoidea) I. Pseudagapostemon1”. Annals of the Entomological Society of America 51 (2): 155–64. https://doi.org/10.1093/aesa/51.2.155.",no information,no information,yes,species,"Cordeiro, G. D., M. Pinheiro, S. Dötterl, and I. Alves-dos-Santos. 2017. “Pollination of Campomanesia phaea (Myrtaceae) by Night-Active Bees: A New Nocturnal Pollination System Mediated by Floral Scent.” Plant Biology 19 (2): 132–39. https://doi.org/10.1111/plb.12520.",below ground,no information,excavate,soil,no,species,unable,no information,no information,no information,"Michener, Charles D., and Rudolf B. Lange. 1958. “Observations on the Behavior of Brazilian Halictid Bees (Hymenoptera, Apoidea) I. Pseudagapostemon1”. Annals of the Entomological Society of America 51 (2): 155–64. https://doi.org/10.1093/aesa/51.2.155.",2.92,medium (2.2-3.8),2.6-3.0,2.92,no information,no information,"Caetano, C. A. 2016. ""Abelhas Crepusculares/Noturnas: Adaptações Morfológicas e Interações com Plantas."" MSc diss., Universidade de São Paulo. 10.11606/D.41.2016.tde-18102016-111327. | Raiol, Rafael Lobo, Markus Gastauer, Alistair John Campbell, Rafael Cabral Borges, Marcelo Awade, and Tereza Cristina Giannini. 2021. “Specialist Bee Species Are Larger and Less Phylogenetically Distinct Than Generalists in Tropical Plant–Bee Interaction Networks”. Frontiers in Ecology and Evolution 9 (July): 699649. https://doi.org/10.3389/fevo.2021.699649. | measured by Carlos A. Martínez-Martínez and Isabel Alves-dos-Santos",no
Apidae,Apinae,Meliponini,Melipona,scutellaris,Michmelia,,"Latreille, 1811","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,yes,species,"Burkart, Andreas, Klaus Lunau, and Clemens Schlindwein. 2012. “Comparative Bioacoustical Studies on Flight and Buzzing of Neotropical Bees”. Journal of Pollination Ecology 6 (January). https://doi.org/10.26786/1920-7603(2011)17.",above ground,hollow trees,pre-existing cavities,wood,no,species,hive,1000-2000,1500,combs,"Menezes, C., Alves, D. A., Lucena, D. A. A., & Almeida, E. A. B. (2023). Abelhas sem ferrão relevantes para a meliponicultura no Brasil. São Paulo: A.B.E.L.H.A. | Macedo, Carlos Roberto Da Costa, Italo De Souza Aquino, Péricles De Farias Borges, Alex Da Silva Barbosa, and Geovergue Rodrigues De Medeiros. 2020. “Nesting Behavior of Stingless Bees”. Ciência Animal Brasileira 21: e-58736. https://doi.org/10.1590/1809-6891v21e-58736. | Tóth, E., D. C. Queller, A. Dollin, and J. E. Strassmann. 2004. “Conflict over Male Parentage in Stingless Bees.” Insectes Sociaux 51 (1): 1–11. https://doi.org/10.1007/s00040-003-0707-z. | Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",2.92,medium (2.2-3.8),2.6-3.0,no information,no information,2.92,"Burkart, Andreas, Klaus Lunau, and Clemens Schlindwein. 2012. “Comparative Bioacoustical Studies on Flight and Buzzing of Neotropical Bees”. Journal of Pollination Ecology 6 (January). https://doi.org/10.26786/1920-7603(2011)17. | Jaffé, Rodolfo, Nathaniel Pope, André L. Acosta, Denise A. Alves, Maria C. Arias, Pilar De La Rúa, Flávio O. Francisco, et al. 2016. “Beekeeping Practices and Geographic Distance, Not Land Use, Drive Gene Flow across Tropical Bees”. Molecular Ecology 25 (21): 5345–58. https://doi.org/10.1111/mec.13852.",no
Halictidae,Halictinae,Augochlorini,Megalopta,mura,,,"Santos & Melo, 2014","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,diverse,solitary;  communal;  semisocial,genus,"Santos, L. M. and Gabriel A. R. Melo 2015. ""Updating the taxonomy of the bee genus Megalopta ( Hymenoptera?: Apidae , Augochlorini ) including revision of the Brazilian species"". Journal of Natural History 49(11–12): 575–674. https://doi.org/10.1080/00222933.2014.946106 | Santos, Leandro M., Simon M. Tierney, and William T. Wcislo. 2010. “Nest Descriptions of Megalopta Aegis (Vachal) and M. Guimaraesi Santos & Silveira (Hymenoptera, Halictidae) from the Brazilian Cerrado”. Revista Brasileira de Entomologia 54 (2): 332–34. https://doi.org/10.1590/S0085-56262010000200018. | Danforth, Bryan. N., and George. C. Eickwort. “The Evolution of Social Behavior in the Augochlorine Sweat Bees (Hymenoptera: Halictidae) Based on a Phylogenetic Analysis of the Genera.” Chapter. In The Evolution of Social Behaviour in Insects and Arachnids, edited by Jae C. Choe and Bernard J. Crespi, 270–92. Cambridge: Cambridge University Press, 1997. doi:10.1017/CBO9780511721953.014. | Wcislo, W. T., and V. H. Gonzalez. 2006. “Social and Ecological Contexts of Trophallaxis in Facultatively Social Sweat Bees, Megalopta genalis and M. ecuadoria (Hymenoptera, Halictidae)”. Insectes Sociaux 53 (2): 220–25. https://doi.org/10.1007/s00040-005-0861-6.",no information,no information,yes,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,no information,excavate,wood,no,genus,no information,no information,no information,no information,"Santos, Leandro M., Simon M. Tierney, and William T. Wcislo. 2010. “Nest Descriptions of Megalopta Aegis (Vachal) and M. Guimaraesi Santos & Silveira (Hymenoptera, Halictidae) from the Brazilian Cerrado”. Revista Brasileira de Entomologia 54 (2): 332–34. https://doi.org/10.1590/S0085-56262010000200018.",2.94,medium (2.2-3.8),2.6-3.0,2.94,no information,no information,"Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3. | Santos, L. M. and Gabriel A. R. Melo 2015. ""Updating the taxonomy of the bee genus Megalopta ( Hymenoptera?: Apidae , Augochlorini ) including revision of the Brazilian species"". Journal of Natural History 49(11–12): 575–674. https://doi.org/10.1080/00222933.2014.946106",no
Apidae,Apinae,Meliponini,Melipona,seminigra,Michmelia,pernigra,"Moure & Kerr, 1950","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,yes,species,"Hrncir, Michael, Anne-Isabelle Gravel, Dirk Louis P. Schorkopf, Veronika M. Schmidt, Ronaldo Zucchi, and Friedrich G. Barth. 2008. “Thoracic Vibrations in Stingless Bees (Melipona seminigra): Resonances of the Thorax Influence Vibrations Associated with Flight but Not Those Associated with Sound Production”. Journal of Experimental Biology 211 (5): 678–85. https://doi.org/10.1242/jeb.013920.",above ground,hollow trees,pre-existing cavities,wood,no,species,hive,1000-3000,2000,combs,"Menezes, C., Alves, D. A., Lucena, D. A. A., & Almeida, E. A. B. (2023). Abelhas sem ferrão relevantes para a meliponicultura no Brasil. São Paulo: A.B.E.L.H.A. | Costa, Luciano, Rafael Franco, Leandro Guimarães, Ayrton Vollet Neto, Filipi Silva, and Guaraci Duran Cordeiro. 2014. “Rescue of Stingless Bee (Hymenoptera: Apidae: Meliponini) Nests: An Important Form of Mitigating Impacts Caused by Deforestation”. Sociobiology 61 (4): 554–59. https://doi.org/10.13102/sociobiology.v61i4.554-559. | Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham. | Imperatriz-Fonseca Vera Lúcia, Denise de Araujo Alves. 2020. Stingless Bees of Pará: Based on the Scientific Expeditions of João M. F. Camargo. Belém: Instituto Tecnológico Vale.",2.94,medium (2.2-3.8),2.6-3.0,no information,no information,2.94,"Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3.",no
Apidae,Apinae,Meliponini,Melipona,seminigra,Michmelia,abunensis,"Cockerell, 1912","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,yes,species,"Hrncir, Michael, Anne-Isabelle Gravel, Dirk Louis P. Schorkopf, Veronika M. Schmidt, Ronaldo Zucchi, and Friedrich G. Barth. 2008. “Thoracic Vibrations in Stingless Bees (Melipona seminigra): Resonances of the Thorax Influence Vibrations Associated with Flight but Not Those Associated with Sound Production”. Journal of Experimental Biology 211 (5): 678–85. https://doi.org/10.1242/jeb.013920.",above ground,hollow trees,pre-existing cavities,wood,no,species,hive,1000-3000,2000,combs,"Menezes, C., Alves, D. A., Lucena, D. A. A., & Almeida, E. A. B. (2023). Abelhas sem ferrão relevantes para a meliponicultura no Brasil. São Paulo: A.B.E.L.H.A. | Costa, Luciano, Rafael Franco, Leandro Guimarães, Ayrton Vollet Neto, Filipi Silva, and Guaraci Duran Cordeiro. 2014. “Rescue of Stingless Bee (Hymenoptera: Apidae: Meliponini) Nests: An Important Form of Mitigating Impacts Caused by Deforestation”. Sociobiology 61 (4): 554–59. https://doi.org/10.13102/sociobiology.v61i4.554-559. | Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham. | Imperatriz-Fonseca Vera Lúcia, Denise de Araujo Alves. 2020. Stingless Bees of Pará: Based on the Scientific Expeditions of João M. F. Camargo. Belém: Instituto Tecnológico Vale.",2.94,medium (2.2-3.8),2.6-3.0,no information,no information,2.94,"Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3.",no
Apidae,Apinae,Meliponini,Melipona,seminigra,Michmelia,merrillae,"Cockerell, 1919","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,yes,species,"Hrncir, Michael, Anne-Isabelle Gravel, Dirk Louis P. Schorkopf, Veronika M. Schmidt, Ronaldo Zucchi, and Friedrich G. Barth. 2008. “Thoracic Vibrations in Stingless Bees (Melipona seminigra): Resonances of the Thorax Influence Vibrations Associated with Flight but Not Those Associated with Sound Production”. Journal of Experimental Biology 211 (5): 678–85. https://doi.org/10.1242/jeb.013920.",above ground,hollow trees,pre-existing cavities,wood,no,species,hive,1000-3000,2000,combs,"Menezes, C., Alves, D. A., Lucena, D. A. A., & Almeida, E. A. B. (2023). Abelhas sem ferrão relevantes para a meliponicultura no Brasil. São Paulo: A.B.E.L.H.A. | Costa, Luciano, Rafael Franco, Leandro Guimarães, Ayrton Vollet Neto, Filipi Silva, and Guaraci Duran Cordeiro. 2014. “Rescue of Stingless Bee (Hymenoptera: Apidae: Meliponini) Nests: An Important Form of Mitigating Impacts Caused by Deforestation”. Sociobiology 61 (4): 554–59. https://doi.org/10.13102/sociobiology.v61i4.554-559. | Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham. | Imperatriz-Fonseca Vera Lúcia, Denise de Araujo Alves. 2020. Stingless Bees of Pará: Based on the Scientific Expeditions of João M. F. Camargo. Belém: Instituto Tecnológico Vale.",2.94,medium (2.2-3.8),2.6-3.0,no information,no information,2.94,"Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3.",no
Apidae,Apinae,Meliponini,Melipona,seminigra,Michmelia,seminigra,"Friese, 1903","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,yes,species,"Hrncir, Michael, Anne-Isabelle Gravel, Dirk Louis P. Schorkopf, Veronika M. Schmidt, Ronaldo Zucchi, and Friedrich G. Barth. 2008. “Thoracic Vibrations in Stingless Bees (Melipona seminigra): Resonances of the Thorax Influence Vibrations Associated with Flight but Not Those Associated with Sound Production”. Journal of Experimental Biology 211 (5): 678–85. https://doi.org/10.1242/jeb.013920.",above ground,hollow trees,pre-existing cavities,wood,no,species,hive,1000-3000,2000,combs,"Menezes, C., Alves, D. A., Lucena, D. A. A., & Almeida, E. A. B. (2023). Abelhas sem ferrão relevantes para a meliponicultura no Brasil. São Paulo: A.B.E.L.H.A. | Costa, Luciano, Rafael Franco, Leandro Guimarães, Ayrton Vollet Neto, Filipi Silva, and Guaraci Duran Cordeiro. 2014. “Rescue of Stingless Bee (Hymenoptera: Apidae: Meliponini) Nests: An Important Form of Mitigating Impacts Caused by Deforestation”. Sociobiology 61 (4): 554–59. https://doi.org/10.13102/sociobiology.v61i4.554-559. | Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham. | Imperatriz-Fonseca Vera Lúcia, Denise de Araujo Alves. 2020. Stingless Bees of Pará: Based on the Scientific Expeditions of João M. F. Camargo. Belém: Instituto Tecnológico Vale.",2.94,medium (2.2-3.8),2.6-3.0,no information,no information,2.94,"Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3.",no
Megachilidae,Megachilinae,Anthidiini,Austrostelis,iheringi,,,"(Schrottky, 1910)","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,cleptoparasitic,,species,"Cordeiro, G.D, Boff, S., Alves-dos-Santos, I. 2019. ''Trap-nesting bees communities from protected areas of Atlantic Forest, southeastern Brazil''. Sociobiology 66(2): 306-315. https://doi.org/10.13102/sociobiology.v66i2.3448",no information,no information,no information,no information,no information,above ground,no information,pre-existing cavities,wood; human-made structures,no,species,trap-nest,no information,no information,no information,"Cordeiro, Guaraci D., Ana Luiza O. Nascimento, Isabel Alves-dos-Santos, and Carlos A. Garófalo. 2015. “The Cleptoparasitic Bee Austrostelis iheringi (Schrottky, 1910) (Anthidiini, Megachilidae): New Geographical Records and Potential Hosts”. Journal of the Kansas Entomological Society 88 (4): 453–56. https://doi.org/10.2317/kent-88-04-453-456.1.",2.95,medium (2.2-3.8),2.6-3.0,2.95,no information,no information,"Rodrigues, Bárbara Nobrega. 2020. “Paisagem e redes de polinização: como manter a polinização na Mata Atlântica?”. PhD diss., Universidade de São Paulo. | measured by Patrícia S. Vilhena and Carlos A. Garófalo",yes
Colletidae,Colletinae,Colletini,Colletes,argentinus,,,"Friese, 1908","Ferrari, Rafael. R. 2019. ''A revision of Colletes Latreille (Hymenoptera: Colletidae: Colletinae) from Brazil, Paraguay and Uruguay''. Zootaxa, 4606(1): 1-91. https://doi.org/10.11646/zootaxa.4606.1.1",non-eusocial,solitary,,genus,"Michener, Charles Duncan. 2007. The Bees of the World. Baltimore: The Johns Hopkins University Press.",no information,no information,yes,genus,"Bowers, Karen A. W. 1975. “The Pollination Ecology of Solanum rostratum (Solanaceae).” American Journal of Botany 62 (6): 633–38. https://doi.org/10.1002/j.1537-2197.1975.tb14094.x. | Buchmann, Stephen Lee, C. Eugene Jones, and Larry J. Colin. 1977. “Vibratile Pollination of Solanum douglasii and S. xanti (Solanaceae) in Southern California.” The Wassmann Journal of Biology 35 (1): 1–25. | Harter, Birgit, Carla Leistikow, Wolfgang Wilms, Betânia Truylio, and Wolf Engels. 2002. “Bees Collecting Pollen from Flowers with Poricidal Anthers in a South Brazilian Araucaria Forest: A Community Study.” Journal of Apicultural Research 41 (1–2): 9–16. https://doi.org/10.1080/00218839.2002.11101063. | Paine, K. C. and T. H. Roulston. 2012. ""Thieves or Friends: Are Specialist Bees More Efficient at Removing Pollen Than Generalists?"". 97th ESA Annual Convention 2012, Portland. | Bohs, Lynn. 2000. “Insights into the Witheringia Solanacea (Solanaceae) Complex in Costa Rica. II. Insect Visitors and Pollination Biology of W. Asterotricha and W. Meiantha1.” Biotropica 32 (1): 80–89. https://doi.org/10.1111/j.1744-7429.2000.tb00450.x.",below ground,no information,excavate,soil,no,genus,unable,no information,no information,no information,"Almeida, Eduardo A.B. 2008. “Colletidae Nesting Biology (Hymenoptera: Apoidea)”. Apidologie 39 (1): 16–29. https://doi.org/10.1051/apido:2007049.",2.95,medium (2.2-3.8),2.6-3.0,2.95,no information,no information,"Ferrari, Rafael. R. 2019. ''A revision of Colletes Latreille (Hymenoptera: Colletidae: Colletinae) from Brazil, Paraguay and Uruguay''. Zootaxa, 4606(1): 1-91. https://doi.org/10.11646/zootaxa.4606.1.1",no
Megachilidae,Megachilinae,Megachilini,Coelioxys,costaricensis,Cyrtocoelioxys,,"Cockerell, 1914","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,cleptoparasitic,,species,"Augusto, S. C., and C. A. Garófalo. 2004. “Nesting Biology and Social Structure of Euglossa (Euglossa) Townsendi Cockerell (Hymenoptera, Apidae, Euglossini)”. Insectes Sociaux 51 (4): 400–409. https://doi.org/10.1007/s00040-004-0760-2.",Euglossa atroveneta; Euglossa pleosticta; Euglossa truncata; Euglossa townsendi,"Gonzalez, Victor, and Monica Ospina. 2008. “Nest Structure, Seasonality, and Host Plants of Thygater Aethiops (Hymenoptera: Apidae, Eucerini) in the Andes.” Journal of Hymenoptera Research 17 (April): 110–15. | Garófalo, C. A., E. Camillo, J. C. Serrano, and J. M. Rebêlo. 1993. “Utilization of Trap Nests by Euglossini Species (Hymenoptera: Apidae).” Revista Brasileira De Biologia. https://www.semanticscholar.org/paper/Utilization-of-trap-nests-by-Euglossini-species-Gar%C3%B3falo-Camillo/d932b073a960c19869a2401aa190b933968bea35. | Augusto, S. C., and C. A. Garófalo. 2004. “Nesting Biology and Social Structure of Euglossa (Euglossa) Townsendi Cockerell (Hymenoptera, Apidae, Euglossini)”. Insectes Sociaux 51 (4): 400–409. https://doi.org/10.1007/s00040-004-0760-2.",no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,no information,pre-existing cavities,wood; human-made structures,no,species,unable,no information,no information,no information,"Gazola, A.L., and C.A. Garofalo. 2009. “Trap-Nesting Bees (Hymenoptera: Apoidea) in Forest Fragments of the State of São Paulo, Brazil”. Genetics and Molecular Research 8 (2): 607–22. https://doi.org/10.4238/vol8-2kerr016. | Cordeiro, G.D, Boff, S., Alves-dos-Santos, I. 2019. ''Trap-nesting bees communities from protected areas of Atlantic Forest, southeastern Brazil''. Sociobiology 66(2): 306-315. https://doi.org/10.13102/sociobiology.v66i2.3448 | Marinho, Diego, and Felipe Vivallo. 2020. “Unveiling the Trap-Nesting Bees and Wasps' Fauna (Hymenoptera: Apocrita) and Associated Organisms of the Jardim Botânico Do Rio de Janeiro, Brazil”. Papéis Avulsos de Zoologia 60 (September): e20206049. https://doi.org/10.11606/1807-0205/2020.60.49.",2.96,medium (2.2-3.8),2.6-3.0,2.96,no information,no information,measured by Allison L. Tietz and Denise M.D.S. Mouga,yes
Apidae,Eucerinae,Emphorini,Melitoma,segmentaria,,,"(Fabricius, 1804)","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,species,"Mamede Filho, Gerson Fraissat, Marina Abadia Ramos, and Agnaldo Gonzaga Oliveira. 1990. “Contribuição à Biologia Da Melitoma segmentaria (Anthophoridae)”. Revista Brasileira de Zoologia 7 (3): 217–21. https://doi.org/10.1590/S0101-81751990000300003.",no information,no information,no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above or below ground,nesting by excavating soil and clay brick walls,excavate,soil; human-made structures,yes,species,unable,no information,no information,no information,"Pereira, Felipe Walter, Laís Carneiro, and Rodrigo Barbosa Gonçalves. 2021. “More Losses than Gains in Ground-Nesting Bees over 60 Years of Urbanization”. Urban Ecosystems 24 (2): 233–42. https://doi.org/10.1007/s11252-020-01030-1. | Mamede Filho, Gerson Fraissat, Marina Abadia Ramos, and Agnaldo Gonzaga Oliveira. 1990. “Contribuição à Biologia Da Melitoma segmentaria (Anthophoridae)”. Revista Brasileira de Zoologia 7 (3): 217–21. https://doi.org/10.1590/S0101-81751990000300003. | K. G. Dos Santos, Andressa, Manuel Warkentin, Juliane V. Da Silva, Rogério N. Barbosa, and Denise Monique Dubet Da Silva Mouga. 2016. “Nesting Patterns of Bees (Apidae) in Brick Walls in Southern Brazil.” Acta Biológica Catarinense 3 (2). https://doi.org/10.21726/abc.v3i2.205.",2.97,medium (2.2-3.8),2.6-3.0,2.97,no information,no information,"Martins, G. F., and Serrão, J. E. 2004."" A comparative study of the ovaries in some Brazilian bees (Hymenoptera; Apoidea)."" Papéis Avulsos de Zoologia 44(3): 45-53. | measured by B. Ferreira/J. Caldeira | Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3. | Pereira, Felipe Walter, Laís Carneiro, and Rodrigo Barbosa Gonçalves. 2021. “More Losses than Gains in Ground-Nesting Bees over 60 Years of Urbanization”. Urban Ecosystems 24 (2): 233–42. https://doi.org/10.1007/s11252-020-01030-1. | measured by Ana C.J. Costa",yes
